Ticker,EBIT,EV,EY,ROC,rank_EY,rank_ROC,score,out_in
INBX,1701065000.0,959758030.7783966,1.7723894413473968,11.0764447338434,55.0,21.0,76.0,in
FBYD,151381000.0,674845250.6246529,0.2243195752802263,9.694588536663463,120.0,24.0,144.0,in
TDIC,8182222.0,4663278.135850906,1.754607330215999,0.5308903351253261,56.0,94.0,150.0,in
JLHL,20009994.0,59909318.75,0.3340046993941155,1.1369015690098607,102.0,65.0,167.0,in
CRE,8849204.0,9004483.652046323,0.982755296356051,0.4355708198987436,67.0,105.0,172.0,in
TZOO,18498000.0,65175345.0,0.2838189809351987,0.7611092824226465,109.0,81.0,190.0,in
GDEV,30248000.0,162202350.0,0.1864831181545767,2.5950583390528483,147.0,46.0,193.0,in
BGIN,103451130.0,206947120.5694642,0.4998916134485448,0.3663784738037259,84.0,118.0,202.0,in
DKI,1156712.0,6441262.481405735,0.1795784604864542,1.2154868674768426,154.0,63.0,217.0,in
OMSE,60450000.0,133841900.70355225,0.4516522828967537,0.3246700932922997,85.0,134.0,219.0,in
AGRZ,8014555.0,19408499.955020845,0.4129404651865787,0.3259820270822114,89.0,133.0,222.0,in
AGMH,5947359.0,3001412.912584305,1.9815197619307727,0.271686870797005,53.0,171.0,224.0,in
NAMM,16017000.0,55433882.42381573,0.2889388096172515,0.3407364860552683,108.0,128.0,236.0,in
CNDT,579000000.0,780527782.7134423,0.74180575352123,0.2642628936558649,71.0,178.0,249.0,in
MATH,15970008.0,85126534.4584291,0.1876031733419012,0.4337377630402976,146.0,106.0,252.0,in
SBC,73484117.0,341585895.31150055,0.2151263211058174,0.3356508586557775,123.0,129.0,252.0,in
SAGT,9800569.0,27535162.45282936,0.3559292238347752,0.2822905673935649,95.0,163.0,258.0,in
SHMD,50823000.0,376387210.0,0.1350284989758286,1.4945303769922955,204.0,57.0,261.0,in
SIGA,69983274.0,335683969.87061405,0.2084796424058448,0.3176670695829373,129.0,139.0,268.0,in
